registration date,Топливные составы и металлургия,Медицинские инструменты и терапия,Промышленное хранение и эксплуатация,Авиационно-космические системы,Производство материалов и антенн,Двигатели внутреннего сгорания,Технологии передачи данных,Строительные конструкции,Измерительные системы и датчики,Электронные системы контроля,Пищевая промышленность,Системы автоматического управления,Очистные установки и покрытия,Упаковочные решения,Гидравлическое оборудование,Нефтегазовые и лазерные технологии,Энергетика и переработка отходов,Водоочистка и полимеры,Фармацевтические исследования,Пневматические и шинные системы,Системы обнаружения и диагностики,Автомобильные технологии,Транспортные средства,Оптические и производственные технологии,Фармацевтические композиции,Сварочные и режущие системы,Прогнозирование и развитие,Сельскохозяйственная техника
2010-04-30,8,11,2,13,13,31,5,14,9,24,341,25,10,18,12,13,10,12,6,3,8,12,15,9,22,18,10,7
2010-05-31,3,7,5,13,26,24,11,5,14,48,398,27,11,18,16,7,11,10,4,16,6,9,15,9,19,10,4,9
2010-06-30,7,11,7,8,14,42,13,8,8,10,22,24,9,31,8,8,8,11,5,5,21,19,10,5,23,6,14,4
2010-07-31,5,6,8,8,12,9,10,9,3,9,150,21,15,28,4,6,6,9,9,13,7,25,14,9,15,11,15,9
2010-08-31,4,6,7,8,8,32,10,5,11,17,202,19,21,21,11,8,12,13,4,4,11,14,24,3,12,9,13,1
2010-09-30,9,15,11,9,7,15,9,8,12,4,63,18,15,14,17,6,9,8,5,12,6,8,17,16,22,12,9,9
2010-10-31,4,3,7,2,13,10,14,12,10,6,3,15,9,25,5,4,6,10,6,8,10,20,14,7,18,9,8,3
2010-11-30,4,19,6,9,11,17,14,14,7,2,18,29,9,20,11,10,4,13,3,11,3,9,15,10,45,11,17,5
2010-12-31,7,8,4,18,10,28,20,13,4,17,65,31,15,18,9,9,11,14,8,7,11,22,20,4,20,10,10,11
2011-01-31,7,10,7,10,20,15,14,6,8,8,131,14,4,13,12,9,15,15,9,19,16,14,24,5,20,9,13,8
2011-02-28,6,8,7,5,26,24,12,8,6,17,16,11,8,19,11,9,11,9,13,4,7,9,18,5,17,7,9,6
2011-03-31,6,11,4,8,14,30,7,6,5,6,7,18,14,12,4,4,6,10,5,12,7,12,17,5,18,32,12,6
2011-04-30,6,8,4,11,19,10,11,12,7,19,99,17,12,15,10,8,8,6,9,5,12,11,20,6,17,11,7,7
2011-05-31,10,9,10,6,15,26,22,17,6,18,44,43,17,17,17,11,9,16,4,5,11,8,16,8,16,14,5,4
2011-06-30,3,13,4,8,27,26,14,8,11,22,26,29,18,19,16,4,10,8,6,10,21,11,10,11,19,20,10,12
2011-07-31,5,14,6,7,10,17,12,6,20,6,206,27,12,16,7,9,9,9,5,20,11,17,16,3,24,35,15,6
2011-08-31,8,5,9,10,9,12,14,19,4,2,129,28,8,32,12,8,2,13,7,10,15,8,13,5,18,8,13,4
2011-09-30,9,12,6,7,15,28,8,12,8,13,60,11,13,58,12,7,5,17,9,8,7,7,16,6,26,15,9,5
2011-10-31,5,6,5,7,9,23,11,14,8,1,42,23,11,56,12,7,8,11,6,4,12,10,20,4,14,17,6,10
2011-11-30,2,4,7,10,16,34,15,30,3,10,62,36,11,117,10,5,11,12,10,12,10,15,24,10,18,11,7,6
2011-12-31,4,9,7,14,4,29,19,32,8,6,203,22,13,94,7,12,8,8,7,13,21,11,23,12,35,14,5,7
2012-01-31,6,9,7,15,19,30,29,20,6,9,100,24,16,125,15,9,13,12,7,10,21,16,17,12,24,22,8,6
2012-02-29,7,6,3,8,10,26,15,8,6,15,65,18,7,350,16,7,13,8,4,7,10,14,15,10,25,13,7,6
2012-03-31,5,10,9,8,11,27,18,11,1,7,11,34,6,149,8,4,4,11,6,5,12,13,11,9,16,7,14,6
2012-04-30,21,12,8,10,15,25,13,12,1,15,6,23,16,126,17,12,16,14,9,5,13,17,22,10,27,8,7,7
2012-05-31,21,9,4,17,14,43,15,13,11,21,11,35,6,223,10,6,6,14,7,9,6,6,21,5,13,13,8,6
2012-06-30,8,16,12,14,9,25,17,8,7,22,137,30,14,79,15,7,4,18,0,9,11,11,18,15,23,7,4,5
2012-07-31,9,19,9,15,12,25,17,11,5,20,57,31,9,33,10,5,11,14,5,21,14,22,22,5,25,16,12,5
2012-08-31,9,8,5,11,16,26,16,19,8,24,100,23,14,15,10,7,11,12,5,9,10,14,20,6,17,8,9,6
2012-09-30,5,6,8,12,11,13,9,16,8,25,155,27,22,23,24,8,5,9,8,9,6,17,23,2,18,27,1,8
2012-10-31,10,13,5,16,13,23,13,11,9,17,236,29,10,15,7,5,7,7,4,10,15,25,33,5,13,24,10,8
2012-11-30,9,8,8,11,31,35,13,16,4,12,149,17,11,26,7,10,13,8,3,16,13,13,18,7,21,7,5,6
2012-12-31,7,12,4,21,24,27,12,7,3,37,53,22,11,11,27,6,10,25,2,16,10,12,19,4,24,10,6,6
2013-01-31,7,10,8,9,21,20,11,10,12,14,81,33,8,25,12,11,9,37,8,20,8,9,13,5,23,13,10,6
2013-02-28,4,8,9,16,22,27,29,13,5,8,263,37,18,16,38,8,13,7,10,6,15,14,14,10,24,12,5,9
2013-03-31,0,7,4,6,5,24,11,5,9,5,10,12,16,16,5,5,4,7,3,5,9,8,17,5,18,6,6,10
2013-04-30,7,3,11,21,29,27,17,8,5,12,44,28,12,17,8,8,7,15,4,9,15,12,30,12,21,12,11,10
2013-05-31,15,7,14,16,20,35,29,15,4,20,29,34,8,19,8,7,17,18,6,7,13,4,23,11,25,5,12,7
2013-06-30,7,11,14,12,30,26,25,5,5,23,86,26,16,16,31,9,13,24,6,5,20,12,23,6,29,7,17,7
2013-07-31,8,11,8,8,17,27,16,9,4,8,83,23,15,16,70,15,7,12,9,10,8,13,37,10,25,4,9,6
2013-08-31,11,13,11,14,13,39,20,15,6,30,51,26,9,19,12,10,14,28,6,14,6,10,28,9,25,24,7,3
2013-09-30,10,13,9,20,15,33,16,12,13,55,31,14,13,12,8,10,7,14,7,7,15,21,25,7,23,11,9,16
2013-10-31,11,8,5,15,13,35,14,11,7,13,36,29,10,15,20,8,10,23,8,8,5,17,40,3,28,24,6,25
2013-11-30,10,10,8,10,16,32,16,12,7,28,129,25,6,16,31,12,11,19,9,9,24,10,27,2,25,10,3,14
2013-12-31,11,14,7,18,15,26,19,12,4,81,284,29,14,29,41,10,8,16,7,4,13,15,22,5,22,11,6,20
2014-01-31,9,5,10,13,10,26,10,5,3,46,222,22,14,16,27,11,13,16,4,11,9,11,17,6,24,8,6,4
2014-02-28,31,17,5,28,25,72,21,23,7,100,1044,28,16,18,70,16,19,22,9,18,19,23,35,12,29,27,17,7
2014-03-31,14,10,8,21,25,49,30,11,11,18,418,54,19,28,17,17,18,25,8,13,27,10,39,12,29,17,15,6
2014-04-30,4,7,4,30,7,22,14,16,16,95,78,32,8,8,25,14,5,27,8,9,17,9,44,8,25,19,13,3
2014-05-31,7,11,9,18,8,16,25,11,9,9,101,31,13,18,12,10,15,19,11,9,15,18,21,4,11,11,3,7
2014-06-30,9,14,14,10,11,34,23,8,5,13,38,29,17,13,4,7,12,15,5,8,5,19,35,4,14,13,6,9
2014-07-31,7,5,8,9,10,43,15,17,9,72,49,28,11,16,10,6,15,13,8,6,10,9,34,8,18,16,4,5
2014-08-31,2,3,8,13,4,11,18,4,4,35,11,17,9,15,6,6,6,14,2,3,7,9,14,2,11,2,3,4
2014-09-30,2,3,4,16,12,13,18,5,5,37,7,20,10,14,11,12,9,19,3,23,7,12,42,2,9,12,11,3
2014-10-31,12,16,18,14,14,51,25,24,12,42,28,37,22,31,12,17,20,15,13,6,23,15,52,12,31,25,14,15
2014-11-30,7,9,7,22,4,23,18,10,4,16,10,20,13,29,6,12,9,18,1,5,8,17,15,7,20,21,7,5
2014-12-31,9,5,5,29,7,27,15,7,5,14,6,22,11,33,6,7,13,25,8,8,19,18,23,6,17,10,3,2
2015-01-31,9,7,5,15,8,16,8,6,10,10,3,23,7,30,5,7,8,18,6,3,14,11,31,7,21,6,4,6
2015-02-28,2,5,7,10,10,35,19,7,0,6,3,14,17,49,2,2,6,22,0,4,16,13,24,2,19,15,1,5
2015-03-31,9,8,5,31,19,26,19,17,14,9,10,30,14,55,14,12,11,25,12,4,23,22,35,8,25,26,16,12
2015-04-30,7,3,19,13,15,39,17,6,7,7,35,18,13,34,19,8,14,27,8,7,6,31,27,12,23,6,8,4
2015-05-31,9,9,4,18,8,20,15,5,6,3,32,20,9,32,5,2,13,19,5,4,9,14,31,3,14,19,2,4
2015-06-30,11,16,13,11,16,47,17,8,14,14,29,28,22,17,16,9,15,18,14,8,18,21,45,5,27,11,10,8
2015-07-31,9,15,8,16,13,24,24,15,10,36,68,24,9,37,14,12,10,31,15,5,26,19,52,5,43,20,10,5
2015-08-31,6,12,5,10,7,31,9,9,6,3,13,21,6,28,5,12,6,26,10,7,11,26,32,9,24,9,10,5
2015-09-30,5,8,9,16,7,17,14,6,11,15,101,31,7,33,10,17,13,20,6,12,17,19,35,6,34,20,5,4
2015-10-31,5,10,9,13,3,27,12,9,7,10,28,21,15,24,11,16,7,18,13,9,12,15,30,6,28,6,6,5
2015-11-30,6,8,15,16,10,31,10,3,9,12,24,16,14,36,14,7,7,18,7,17,15,12,47,3,20,9,6,3
2015-12-31,3,8,17,13,5,27,13,9,10,4,15,18,11,20,7,7,8,16,9,6,11,16,29,4,25,16,7,4
2016-01-31,1,1,8,9,4,20,8,7,5,7,10,22,9,16,3,7,4,11,9,5,6,8,13,4,22,6,3,1
2016-02-29,4,6,14,23,7,34,10,11,5,5,77,20,17,17,12,8,4,15,5,9,12,10,19,6,61,2,6,3
2016-03-31,6,14,15,22,9,44,23,16,69,8,15,19,27,13,15,9,11,22,11,6,10,29,28,9,169,14,10,9
2016-04-30,0,7,5,9,6,22,14,17,109,6,28,32,16,33,6,14,7,14,5,6,14,19,18,13,104,16,10,10
2016-05-31,1,5,4,14,7,16,22,8,166,12,16,28,18,18,6,11,5,6,9,16,4,17,25,8,127,10,2,2
2016-06-30,9,8,8,15,15,18,31,11,360,10,11,21,8,15,10,5,7,19,8,9,18,18,31,10,723,10,7,7
2016-07-31,4,2,17,9,12,10,4,4,117,4,9,10,2,20,7,10,6,23,10,26,11,11,12,2,135,6,3,1
2016-08-31,1,6,12,32,8,26,40,11,261,11,8,31,4,19,8,6,6,15,7,9,10,22,29,8,52,18,8,8
2016-09-30,3,10,7,14,8,19,41,18,19,6,2,18,4,21,7,5,7,8,5,12,10,7,22,7,26,13,3,3
2016-10-31,9,11,7,15,4,22,32,4,15,8,5,20,29,26,4,6,11,15,3,16,15,13,27,7,29,12,5,5
2016-11-30,7,5,8,16,3,19,8,3,12,9,2,18,7,18,9,14,8,36,15,9,13,13,30,4,30,5,5,4
2016-12-31,5,5,13,18,2,28,7,11,7,9,1,23,10,22,6,9,6,25,6,9,7,9,27,10,26,10,5,4
2017-01-31,5,6,2,19,7,15,10,4,2,1,4,20,1,10,4,4,5,10,1,5,10,12,29,3,12,11,13,1
2017-02-28,2,9,5,20,9,20,33,20,9,4,9,15,193,22,10,10,8,24,7,7,15,12,23,4,22,7,8,4
2017-03-31,2,10,8,21,8,38,14,10,9,8,12,16,8,35,11,11,10,28,8,8,11,23,32,13,30,8,7,8
2017-04-30,1,5,10,18,6,18,25,13,8,13,9,17,14,28,6,8,9,40,13,5,15,32,32,10,31,10,11,5
2017-05-31,6,19,11,19,10,31,18,10,17,12,5,15,7,26,19,18,8,22,4,10,16,12,53,11,27,12,5,3
2017-06-30,4,15,11,27,3,29,20,7,6,3,8,27,14,14,12,21,8,11,8,7,13,15,43,7,22,28,7,5
2017-07-31,2,9,5,18,10,21,15,11,3,7,3,13,11,9,6,9,13,19,1,5,15,13,39,5,21,7,9,10
2017-08-31,12,2,14,31,3,30,16,9,11,8,6,38,8,20,7,9,10,16,5,7,17,11,40,14,21,7,9,3
2017-09-30,4,6,11,11,4,11,17,7,4,4,2,25,8,30,5,2,5,14,13,4,14,14,21,7,25,8,7,2
2017-10-31,10,8,5,15,4,32,22,6,6,5,12,22,8,14,7,6,7,17,6,8,12,19,28,12,20,10,14,6
2017-11-30,2,13,7,12,3,27,26,9,5,5,5,18,13,29,8,5,2,19,5,5,11,17,41,7,27,10,14,4
2017-12-31,4,10,10,27,3,24,35,7,12,7,6,28,11,30,15,10,4,23,16,10,9,21,35,4,27,16,7,7
2018-01-31,2,6,19,21,12,17,17,12,6,7,4,30,14,19,5,9,3,20,7,9,15,9,46,10,29,18,8,4
2018-02-28,4,3,12,19,7,12,10,13,4,7,4,25,9,21,9,13,5,23,6,10,15,25,38,11,21,13,11,4
2018-03-31,9,11,8,29,15,21,16,13,11,5,9,19,10,26,12,26,10,21,12,7,19,25,38,10,34,11,10,9
2018-04-30,6,11,11,24,9,34,16,10,12,5,7,29,16,36,11,21,10,27,7,13,25,20,38,8,32,12,5,5
2018-05-31,15,13,7,20,9,21,15,5,9,8,4,27,10,37,19,24,9,30,12,11,20,26,57,7,32,12,15,9
2018-06-30,6,6,8,24,7,21,12,16,8,4,6,46,6,21,28,13,9,20,9,24,15,21,48,5,33,9,7,13
2018-07-31,6,6,21,20,11,30,16,11,12,8,3,30,5,29,27,7,8,23,17,12,28,26,49,11,28,9,15,10
2018-08-31,5,3,11,19,5,31,14,19,6,5,5,32,3,32,15,6,5,19,11,9,12,10,17,6,27,8,11,4
2018-09-30,4,8,9,24,10,42,13,7,10,3,3,29,8,30,20,8,12,6,14,11,15,15,42,9,22,10,15,6
2018-10-31,4,6,5,19,9,23,21,15,8,5,4,28,11,17,15,9,6,8,5,12,16,18,50,4,36,6,21,8
2018-11-30,7,9,1,11,2,17,8,10,4,1,3,21,6,47,8,13,4,11,9,7,10,22,27,9,23,4,9,4
2018-12-31,4,12,7,17,2,29,9,7,6,6,4,16,8,26,9,11,7,27,8,16,11,18,44,9,28,9,15,3
2019-01-31,1,7,9,19,3,22,9,7,7,4,6,25,3,16,8,7,3,9,12,2,6,10,32,6,23,12,10,3
2019-02-28,1,3,5,18,5,26,6,8,0,8,3,26,5,22,4,7,2,7,9,3,13,12,30,12,20,10,13,2
2019-03-31,6,5,14,17,6,20,20,18,6,9,1,29,9,37,14,12,8,15,8,8,13,13,30,8,20,15,11,6
2019-04-30,6,9,8,22,9,30,6,24,8,5,5,28,9,30,7,12,5,13,16,6,23,17,43,10,24,15,8,5
2019-05-31,9,7,8,25,3,26,10,6,8,8,10,30,17,21,3,8,9,14,17,9,23,27,51,10,35,13,14,9
2019-06-30,2,9,4,17,2,24,9,7,9,1,6,16,6,17,7,9,5,13,11,15,9,15,35,4,21,8,10,7
2019-07-31,3,13,10,21,10,25,10,9,8,5,6,37,4,31,20,11,4,15,10,5,17,14,52,5,25,10,12,4
2019-08-31,5,5,4,20,5,30,10,8,8,5,8,32,11,36,12,8,13,26,10,10,9,18,53,4,25,12,13,5
2019-09-30,3,9,8,23,3,22,15,18,5,6,4,27,7,25,7,9,6,15,5,15,17,20,25,12,19,6,6,7
2019-10-31,10,10,14,21,3,31,10,11,9,10,11,26,11,36,9,19,7,58,8,8,13,23,27,12,33,13,10,3
2019-11-30,4,8,9,20,9,41,15,7,4,6,2,15,10,16,12,5,11,11,9,11,8,16,34,8,26,10,6,6
2019-12-31,7,12,6,19,3,27,10,10,6,3,9,14,9,19,7,14,6,20,10,16,14,29,28,5,25,11,9,7
2020-01-31,6,7,6,13,10,16,12,4,11,4,1,27,10,21,5,6,3,20,5,10,8,16,34,5,29,5,10,6
2020-02-29,4,10,7,34,8,17,11,10,7,4,4,31,17,18,9,6,14,13,8,13,10,13,34,3,15,9,15,8
2020-03-31,9,8,10,21,6,19,13,8,7,7,7,25,6,19,8,8,9,12,10,14,18,15,47,6,23,16,9,6
2020-04-30,15,4,13,20,12,24,15,14,7,4,2,22,6,17,6,7,4,18,4,8,15,19,41,2,21,9,5,1
2020-05-31,7,2,4,12,4,21,6,10,3,3,3,18,7,21,7,7,5,21,11,2,8,10,65,1,22,5,10,3
2020-06-30,3,5,7,16,2,18,8,13,6,9,5,24,4,11,3,10,4,11,15,2,10,31,34,2,23,7,6,3
2020-07-31,6,12,5,19,8,32,14,17,13,7,10,24,8,31,12,12,6,29,14,10,8,16,38,15,37,7,9,7
2020-08-31,2,5,4,8,11,28,7,7,7,0,2,26,7,25,7,3,7,15,9,10,7,13,37,6,26,4,15,6
2020-09-30,4,5,6,13,6,11,8,10,6,3,7,26,9,19,19,9,3,15,8,4,12,15,34,2,12,3,5,6
2020-10-31,7,9,16,9,4,17,12,9,15,4,3,30,10,29,5,9,6,14,9,2,13,21,35,7,21,5,7,6
2020-11-30,5,5,5,13,4,19,10,3,9,1,0,25,2,21,5,5,8,22,7,3,5,16,31,8,25,9,5,2
2020-12-31,11,12,12,7,6,16,15,5,3,1,3,33,8,12,9,5,3,7,14,4,14,10,39,9,28,5,4,3
2021-01-31,4,21,11,9,3,12,8,7,3,2,4,24,9,19,4,6,3,12,7,3,10,17,21,4,16,5,6,4
2021-02-28,7,5,4,8,7,10,10,14,3,4,3,17,8,24,1,7,4,20,9,4,10,22,20,2,18,3,11,10
2021-03-31,6,7,9,10,3,17,9,5,5,6,3,24,7,39,9,3,6,30,13,1,11,18,16,4,24,6,9,6
2021-04-30,4,4,2,12,9,13,8,7,4,2,2,21,8,16,13,7,7,6,9,8,8,25,15,5,16,5,13,2
2021-05-31,3,8,14,7,6,11,7,7,5,5,2,23,6,40,7,14,4,15,7,6,6,15,30,2,14,5,12,4
2021-06-30,4,7,7,7,2,11,6,21,1,1,1,20,7,24,4,8,3,30,7,19,4,16,25,8,22,5,4,3
2021-07-31,6,4,4,15,2,13,16,5,3,6,1,24,9,28,3,12,7,13,14,8,7,17,27,5,12,7,3,4
2021-08-31,2,5,3,4,5,12,6,4,6,2,2,12,5,29,6,8,6,19,6,10,3,13,26,6,10,6,9,6
2021-09-30,7,10,5,14,11,27,19,7,6,4,5,18,4,23,4,17,5,17,11,5,11,12,28,10,23,3,6,3
2021-10-31,7,9,7,13,2,18,11,15,3,4,2,19,6,21,4,26,3,9,15,23,14,8,24,11,16,8,4,6
2021-11-30,1,7,10,7,4,12,13,5,11,0,4,24,6,16,6,11,8,15,13,1,10,21,32,6,14,10,9,8
2021-12-31,8,8,9,15,1,17,17,9,6,3,4,37,7,21,6,7,8,38,9,14,15,14,37,10,25,3,2,5
2022-01-31,6,4,7,15,6,17,11,4,5,4,1,11,5,11,3,9,1,13,11,9,10,7,19,3,13,3,8,2
2022-02-28,2,2,2,3,4,2,3,0,2,0,1,5,6,7,6,0,3,6,4,2,2,4,4,2,2,3,2,2
2022-03-31,8,12,10,18,6,34,16,21,6,7,2,32,9,59,7,10,10,39,12,14,7,15,32,4,21,7,3,9
2022-04-30,3,7,5,12,3,19,10,7,1,4,1,21,7,38,15,12,8,5,13,12,9,9,25,3,20,4,9,6
2022-05-31,4,8,8,11,3,20,11,10,4,5,2,17,6,22,9,11,6,21,8,6,12,12,37,8,17,9,6,0
2022-06-30,7,6,12,9,4,27,8,5,2,9,5,17,7,32,8,18,7,26,11,4,13,11,39,3,14,4,7,12
2022-07-31,5,3,8,5,4,12,7,4,6,6,3,11,6,24,3,10,3,16,7,6,12,12,32,7,19,2,4,3
2022-08-31,5,6,12,13,9,21,5,6,4,5,2,13,9,23,13,16,9,26,11,8,8,12,46,12,28,4,10,5
2022-09-30,8,6,5,10,6,22,4,6,3,5,1,21,7,18,7,8,9,13,13,2,9,8,21,3,17,2,9,1
2022-10-31,8,8,7,6,7,12,6,7,4,9,4,19,8,25,7,11,4,9,9,9,8,5,45,5,14,5,5,1
2022-11-30,5,10,7,11,2,15,6,6,5,3,6,16,10,23,5,8,2,15,8,5,8,20,27,5,18,4,7,5
2022-12-31,6,9,6,9,6,22,12,11,9,5,2,18,8,22,5,12,5,15,13,5,10,19,26,14,16,7,7,5
2023-01-31,5,9,18,11,6,33,10,9,3,5,1,8,7,29,2,11,7,10,13,3,14,4,26,11,18,1,1,4
2023-02-28,2,8,4,13,2,8,5,8,5,5,3,11,9,32,6,15,4,11,9,5,12,14,15,5,15,1,10,1
2023-03-31,11,7,8,10,6,19,10,6,7,6,5,24,9,46,6,27,7,8,19,19,9,10,26,6,31,7,1,2
2023-04-30,6,8,8,6,4,10,9,7,1,5,2,14,6,25,5,26,3,21,8,6,8,7,11,8,20,8,8,4
2023-05-31,9,11,8,10,3,21,9,10,3,4,2,14,6,16,5,24,3,20,17,6,14,6,27,3,19,4,14,4
2023-06-30,5,11,2,10,2,13,2,5,4,5,8,8,1,16,1,13,3,44,5,8,8,8,14,7,8,1,2,6
2023-07-31,6,14,12,8,3,24,2,2,2,7,0,8,5,31,4,10,3,10,11,5,4,11,16,7,15,6,3,4
2023-08-31,3,20,25,9,1,10,3,3,5,6,4,17,5,16,7,8,5,9,13,10,14,8,17,7,10,0,7,4
2023-09-30,9,12,8,4,3,17,4,7,0,5,1,13,12,20,4,6,3,14,11,0,4,9,14,7,19,4,6,4
2023-10-31,6,22,9,9,3,22,3,4,3,3,3,14,7,26,6,13,7,15,13,19,12,5,26,9,19,0,3,5
2023-11-30,2,70,2,9,2,23,4,5,1,7,3,10,9,49,9,7,6,20,12,4,7,6,29,6,18,4,4,6
2023-12-31,11,18,4,18,1,14,6,7,5,3,10,13,4,12,7,5,6,14,17,4,23,11,31,6,19,10,3,6
2024-01-31,13,126,8,8,3,12,9,6,1,4,3,7,5,14,3,4,1,16,15,5,9,7,20,3,15,6,3,3
2024-02-29,8,156,7,8,5,11,5,9,2,5,0,9,1,21,8,0,8,16,8,4,10,8,25,2,20,3,5,3
2024-03-31,4,320,4,4,3,16,5,7,5,2,5,24,5,31,3,10,7,12,13,13,7,8,38,5,15,4,6,3
2024-04-30,3,359,7,7,4,8,5,4,3,5,7,20,2,12,3,5,6,11,13,7,7,5,21,3,14,5,9,2
